Playback mode: Real-time x5
Flight log started
[Error] AltitudeNegative at t = 152120 ms
t = 152483 ms, altitude = -2, az = -0.02, temperature = 17.44, battery = 12.2492, state = Landed
[Error] AltitudeNegative at t = 152483 ms
t = 152852 ms, altitude = -2.01, az = -0.02, temperature = 17.45, battery = 12.249, state = Landed
[Error] AltitudeNegative at t = 152852 ms
t = 153217 ms, altitude = -2, az = 0.02, temperature = 17.45, battery = 12.2489, state = Landed
[Error] AltitudeNegative at t = 153217 ms
t = 153581 ms, altitude = -1.99, az = -0.01, temperature = 17.45, battery = 12.2488, state = Landed
[Error] AltitudeNegative at t = 153581 ms
t = 153947 ms, altitude = -1.99, az = -0, temperature = 17.45, battery = 12.2487, state = Landed
[Error] AltitudeNegative at t = 153947 ms
t = 154310 ms, altitude = -1.97, az = 0.02, temperature = 17.45, battery = 12.2486, state = Landed
[Error] AltitudeNegative at t = 154310 ms
t = 154675 ms, altitude = -1.97, az = 0.03, temperature = 17.45, battery = 12.2484, state = Landed
[Error] AltitudeNegative at t = 154675 ms
t = 155043 ms, altitude = -1.99, az = 0.01, temperature = 17.46, battery = 12.2483, state = Landed
[Error] AltitudeNegative at t = 155043 ms
t = 155407 ms, altitude = -2.01, az = 0.04, temperature = 17.47, battery = 12.2482, state = Landed
[Error] AltitudeNegative at t = 155407 ms
t = 155771 ms, altitude = -2, az = -0.01, temperature = 17.47, battery = 12.2481, state = Landed
[Error] AltitudeNegative at t = 155771 ms
t = 156135 ms, altitude = -1.99, az = 0.02, temperature = 17.47, battery = 12.248, state = Landed
[Error] AltitudeNegative at t = 156135 ms
t = 156499 ms, altitude = -1.99, az = 0.02, temperature = 17.48, battery = 12.2478, state = Landed
[Error] AltitudeNegative at t = 156499 ms
t = 156879 ms, altitude = -2.02, az = 0.04, temperature = 17.48, battery = 12.2477, state = Landed
[Error] AltitudeNegative at t = 156879 ms
t = 157243 ms, altitude = -2.01, az = -0.02, temperature = 17.49, battery = 12.2476, state = Landed
[Error] AltitudeNegative at t = 157243 ms
t = 157606 ms, altitude = -2, az = 0.01, temperature = 17.49, battery = 12.2475, state = Landed
[Error] AltitudeNegative at t = 157606 ms
t = 157971 ms, altitude = -2, az = -0.01, temperature = 17.49, battery = 12.2473, state = Landed
[Error] AltitudeNegative at t = 157971 ms
t = 158334 ms, altitude = -1.98, az = 0.03, temperature = 17.5, battery = 12.2472, state = Landed
[Error] AltitudeNegative at t = 158334 ms
t = 158702 ms, altitude = -2, az = -0.02, temperature = 17.5, battery = 12.2471, state = Landed
[Error] AltitudeNegative at t = 158702 ms
t = 159067 ms, altitude = -2.02, az = 0.04, temperature = 17.51, battery = 12.247, state = Landed
[Error] AltitudeNegative at t = 159067 ms
t = 159431 ms, altitude = -2.01, az = 0, temperature = 17.52, battery = 12.2469, state = Landed
[Error] AltitudeNegative at t = 159431 ms
t = 159796 ms, altitude = -2, az = 0.01, temperature = 17.53, battery = 12.2467, state = Landed
[Error] AltitudeNegative at t = 159796 ms
t = 160159 ms, altitude = -2, az = 0.03, temperature = 17.52, battery = 12.2466, state = Landed
[Error] AltitudeNegative at t = 160159 ms
t = 160527 ms, altitude = -2.03, az = 0.02, temperature = 17.52, battery = 12.2465, state = Landed
[Error] AltitudeNegative at t = 160527 ms
t = 160890 ms, altitude = -2.02, az = 0.05, temperature = 17.52, battery = 12.2464, state = Landed
[Error] AltitudeNegative at t = 160890 ms
t = 161255 ms, altitude = -2.03, az = 0.01, temperature = 17.53, battery = 12.2462, state = Landed
[Error] AltitudeNegative at t = 161255 ms
t = 161618 ms, altitude = -2.02, az = -0.02, temperature = 17.53, battery = 12.2461, state = Landed
[Error] AltitudeNegative at t = 161618 ms
t = 161983 ms, altitude = -2.01, az = 0.02, temperature = 17.53, battery = 12.246, state = Landed
[Error] AltitudeNegative at t = 161983 ms
t = 162348 ms, altitude = -2.05, az = 0.04, temperature = 17.54, battery = 12.2459, state = Landed
[Error] AltitudeNegative at t = 162348 ms
t = 162716 ms, altitude = -2.05, az = 0.01, temperature = 17.55, battery = 12.2458, state = Landed
[Error] AltitudeNegative at t = 162716 ms
t = 163081 ms, altitude = -2.07, az = 0.03, temperature = 17.55, battery = 12.2456, state = Landed
[Error] AltitudeNegative at t = 163081 ms
t = 163445 ms, altitude = -2.1, az = -0.02, temperature = 17.54, battery = 12.2455, state = Landed
[Error] AltitudeNegative at t = 163445 ms
t = 163812 ms, altitude = -2.11, az = -0.02, temperature = 17.54, battery = 12.2454, state = Landed
[Error] AltitudeNegative at t = 163812 ms
t = 164175 ms, altitude = -2.13, az = 0.03, temperature = 17.55, battery = 12.2453, state = Landed
[Error] AltitudeNegative at t = 164175 ms
t = 164544 ms, altitude = -2.11, az = 0.02, temperature = 17.55, battery = 12.2452, state = Landed
[Error] AltitudeNegative at t = 164544 ms
t = 164910 ms, altitude = -2.15, az = 0.02, temperature = 17.56, battery = 12.245, state = Landed
[Error] AltitudeNegative at t = 164910 ms
t = 165273 ms, altitude = -2.16, az = 0.02, temperature = 17.56, battery = 12.2449, state = Landed
[Error] AltitudeNegative at t = 165273 ms
t = 165637 ms, altitude = -2.16, az = -0.03, temperature = 17.56, battery = 12.2448, state = Landed
[Error] AltitudeNegative at t = 165637 ms
t = 166000 ms, altitude = -2.15, az = 0.03, temperature = 17.55, battery = 12.2447, state = Landed
[Error] AltitudeNegative at t = 166000 ms
t = 166368 ms, altitude = -2.14, az = -0.02, temperature = 17.56, battery = 12.2445, state = Landed
[Error] AltitudeNegative at t = 166368 ms
t = 166732 ms, altitude = -2.1, az = 0.02, temperature = 17.56, battery = 12.2444, state = Landed
[Error] AltitudeNegative at t = 166732 ms
t = 167096 ms, altitude = -2.1, az = 0.03, temperature = 17.56, battery = 12.2443, state = Landed
[Error] AltitudeNegative at t = 167096 ms
t = 167460 ms, altitude = -2.09, az = 0.03, temperature = 17.57, battery = 12.2442, state = Landed
[Error] AltitudeNegative at t = 167460 ms
t = 167825 ms, altitude = -2.04, az = 0.01, temperature = 17.58, battery = 12.2441, state = Landed
[Error] AltitudeNegative at t = 167825 ms
t = 168194 ms, altitude = -2.03, az = -0.02, temperature = 17.58, battery = 12.2439, state = Landed
[Error] AltitudeNegative at t = 168194 ms
t = 168557 ms, altitude = -2.01, az = 0.03, temperature = 17.58, battery = 12.2438, state = Landed
[Error] AltitudeNegative at t = 168557 ms
t = 168923 ms, altitude = -2, az = 0.03, temperature = 17.59, battery = 12.2437, state = Landed
[Error] AltitudeNegative at t = 168923 ms
t = 169287 ms, altitude = -1.99, az = -0.02, temperature = 17.59, battery = 12.2436, state = Landed
[Error] AltitudeNegative at t = 169287 ms
t = 169651 ms, altitude = -1.95, az = -0.02, temperature = 17.6, battery = 12.2434, state = Landed
[Error] AltitudeNegative at t = 169651 ms
t = 170015 ms, altitude = -1.95, az = -0, temperature = 17.6, battery = 12.2433, state = Landed
[Error] AltitudeNegative at t = 170015 ms
t = 170382 ms, altitude = -1.95, az = -0.02, temperature = 17.61, battery = 12.2432, state = Landed
[Error] AltitudeNegative at t = 170382 ms
t = 170747 ms, altitude = -1.96, az = -0.01, temperature = 17.61, battery = 12.2431, state = Landed
[Error] AltitudeNegative at t = 170747 ms
t = 171112 ms, altitude = -1.98, az = -0, temperature = 17.61, battery = 12.243, state = Landed
[Error] AltitudeNegative at t = 171112 ms
t = 171476 ms, altitude = -1.97, az = 0, temperature = 17.61, battery = 12.2428, state = Landed
[Error] AltitudeNegative at t = 171476 ms
t = 171841 ms, altitude = -1.95, az = -0.01, temperature = 17.61, battery = 12.2427, state = Landed
[Error] AltitudeNegative at t = 171841 ms
t = 172222 ms, altitude = -1.94, az = 0.01, temperature = 17.61, battery = 12.2426, state = Landed
[Error] AltitudeNegative at t = 172222 ms
t = 172588 ms, altitude = -1.93, az = -0.03, temperature = 17.61, battery = 12.2425, state = Landed
[Error] AltitudeNegative at t = 172588 ms
t = 172953 ms, altitude = -1.93, az = -0.01, temperature = 17.61, battery = 12.2423, state = Landed
[Error] AltitudeNegative at t = 172953 ms
t = 173318 ms, altitude = -1.92, az = 0.04, temperature = 17.62, battery = 12.2422, state = Landed
[Error] AltitudeNegative at t = 173318 ms
t = 173682 ms, altitude = -1.92, az = 0.01, temperature = 17.62, battery = 12.2421, state = Landed
[Error] AltitudeNegative at t = 173682 ms
t = 174050 ms, altitude = -1.91, az = 0.03, temperature = 17.61, battery = 12.242, state = Landed
[Error] AltitudeNegative at t = 174050 ms
t = 174414 ms, altitude = -1.88, az = -0.02, temperature = 17.61, battery = 12.2419, state = Landed
[Error] AltitudeNegative at t = 174414 ms
t = 174778 ms, altitude = -1.89, az = 0.02, temperature = 17.62, battery = 12.2417, state = Landed
[Error] AltitudeNegative at t = 174778 ms
t = 175142 ms, altitude = -1.9, az = -0.02, temperature = 17.62, battery = 12.2416, state = Landed
[Error] AltitudeNegative at t = 175142 ms
t = 175507 ms, altitude = -1.89, az = 0.03, temperature = 17.62, battery = 12.2415, state = Landed
[Error] AltitudeNegative at t = 175507 ms
t = 175876 ms, altitude = -1.9, az = -0, temperature = 17.63, battery = 12.2414, state = Landed
[Error] AltitudeNegative at t = 175876 ms
t = 176240 ms, altitude = -1.92, az = 0.04, temperature = 17.63, battery = 12.2413, state = Landed
[Error] AltitudeNegative at t = 176240 ms
t = 176606 ms, altitude = -1.92, az = 0.03, temperature = 17.63, battery = 12.2411, state = Landed
[Error] AltitudeNegative at t = 176606 ms
t = 176971 ms, altitude = -1.94, az = 0.01, temperature = 17.63, battery = 12.241, state = Landed
[Error] AltitudeNegative at t = 176971 ms
t = 177335 ms, altitude = -1.96, az = 0.04, temperature = 17.63, battery = 12.2409, state = Landed
[Error] AltitudeNegative at t = 177335 ms
t = 177700 ms, altitude = -1.97, az = 0.03, temperature = 17.64, battery = 12.2408, state = Landed
[Error] AltitudeNegative at t = 177700 ms
t = 178068 ms, altitude = -1.99, az = 0, temperature = 17.64, battery = 12.2406, state = Landed
[Error] AltitudeNegative at t = 178068 ms
t = 178433 ms, altitude = -2.02, az = -0.02, temperature = 17.64, battery = 12.2405, state = Landed
[Error] AltitudeNegative at t = 178433 ms
t = 178797 ms, altitude = -2.03, az = 0.03, temperature = 17.65, battery = 12.2404, state = Landed
[Error] AltitudeNegative at t = 178797 ms
t = 179162 ms, altitude = -2.05, az = 0.01, temperature = 17.64, battery = 12.2403, state = Landed
